rxn,ecoli_Maltose,ecoli_Acetate,pf_Acetate,pf_4~Hydroxybenzoate
EX_cpd00001_e0,24.144798712656268,47.726402745164805,100.0,45.31977489499392
EX_cpd00007_e0,-0.020344653907526506,-72.6395247635881,-100.0,-20.265167743743056
EX_cpd00009_e0,-100.0,-0.76254103041114,-0.7625410303807297,-0.7625410303806236
EX_cpd00011_e0,100.0,26.165638670574815,100.0,23.78707241199265
EX_cpd00012_e0,3.356145147083347e-13,0.0,0.0,0.0
EX_cpd00013_e0,-100.0,-8.611666496303547,-8.611666496307818,-8.611666496308311
EX_cpd00020_e0,100.0,0.0,0.0,0.0
EX_cpd00029_e0,100.0,-81.84058099117269,-135.33751648733661,-30.621833190707065
EX_cpd00030_e0,-0.00280615915959131,-0.0028061591595835143,-0.00280615915959131,-0.00280615915959131
EX_cpd00034_e0,-0.0028061591595913106,-0.0028061591595835147,-0.00280615915959131,-0.00280615915959131
EX_cpd00047_e0,100.0,100.0,90.06884926446541,0.0
EX_cpd00048_e0,-87.08510185198361,-0.2263971880725066,-10.20508129192622,-0.22639718807314513
EX_cpd00058_e0,-0.0028061591595913106,-0.0028061591595835147,-0.00280615915959131,-0.00280615915959131
EX_cpd00063_e0,-0.00280615915959131,-0.0028061591595835143,-0.00280615915959131,-0.00280615915959131
EX_cpd00067_e0,100.0,24.68679334631094,-68.68295751526426,-24.11129580817941
EX_cpd00073_e0,0.0,0.0,-2.965205168460222e-13,0.0
EX_cpd00079_e0,99.2374589696189,0.0,0.0,0.0
EX_cpd00082_e0,100.0,0.0,0.0,0.0
EX_cpd00099_e0,-0.0028061591595913106,-0.0028061591595835143,-0.0028061591595913106,-0.0028061591595913106
EX_cpd00116_e0,0.0028061591595913114,0.0028061591595835156,0.00280615915959131,0.00280615915959131
EX_cpd00130_e0,27.02577290670062,0.0,0.0,0.0
EX_cpd00136_e0,0.0,0.0,0.0,-0.005612318319034058
EX_cpd00138_e0,100.0,0.0,0.0,0.0
EX_cpd00149_e0,-0.00280615915959131,-0.0028061591595835147,-0.0028061591595913106,-0.0028061591595913106
EX_cpd00179_e0,-315.54372070597987,0.0,0.0,0.0
EX_cpd00205_e0,-0.0028061591595913106,-0.0028061591595835143,-0.00280615915959131,-0.00280615915959131
EX_cpd00211_e0,0.0,-3.431309985293197e-13,0.0,0.0
EX_cpd00239_e0,86.85870466391246,0.0,9.978684103853176,0.0
EX_cpd00254_e0,-0.0028061591595913106,-0.0028061591595835143,-0.00280615915959131,-0.00280615915959131
EX_cpd00276_e0,91.38833350369251,0.0,0.0,0.0
EX_cpd00363_e0,0.0,0.0,21.55515175627711,0.0
EX_cpd00588_e0,99.52521311555289,0.0,0.0,0.0
EX_cpd01329_e0,-6.624646240027106e-16,0.0,0.0,0.0
EX_cpd01914_e0,-1.9883740694107736e-12,0.0,0.0,0.0
EX_cpd10515_e0,-0.011224636638365244,-0.008418477478750543,-0.00841847747877393,-0.00841847747877393
EX_cpd10516_e0,0.0,-0.0028061591595835147,-0.0028061591595913106,-0.0028061591595913106
EX_cpd15378_e0,0.002806159159591333,0.002806159159583513,0.0,0.0
bio,1.0,0.9999999999972219,1.0,1.0
